datetime,open,high,low,close,volume
2026-01-05 09:30:00,21001.0,21004.0,20977.5,20989.0,2020
2026-01-05 09:31:00,20989.0,20997.25,20983.25,20994.25,1454
2026-01-05 09:32:00,20994.25,21010.0,20994.25,21005.75,2028
2026-01-05 09:33:00,21005.75,21006.5,20986.25,20988.0,1209
2026-01-05 09:34:00,20988.0,20992.75,20969.5,20969.75,1616
2026-01-05 09:35:00,20969.75,20971.25,20965.5,20966.75,2124
2026-01-05 09:36:00,20966.75,20970.0,20956.0,20962.75,2288
2026-01-05 09:37:00,20962.75,20967.25,20960.75,20961.75,2301
2026-01-05 09:38:00,20961.75,20962.75,20948.0,20952.5,1275
2026-01-05 09:39:00,20952.5,20960.75,20945.0,20959.5,2703
2026-01-05 09:40:00,20959.5,20974.25,20956.25,20969.25,1520
2026-01-05 09:41:00,20969.25,20974.75,20966.75,20972.5,2455
2026-01-05 09:42:00,20972.5,20988.0,20961.5,20984.75,2002
2026-01-05 09:43:00,20984.75,20994.25,20984.0,20992.75,1221
2026-01-05 09:44:00,20992.75,20993.5,20980.0,20986.0,1756
2026-01-05 09:45:00,20986.0,20993.25,20979.75,20988.25,2192
2026-01-05 09:46:00,20988.25,21000.25,20973.0,20979.25,2427
2026-01-05 09:47:00,20979.25,20993.5,20979.0,20985.75,1844
2026-01-05 09:48:00,20985.75,20995.75,20980.75,20987.0,3248
2026-01-05 09:49:00,20987.0,21000.75,20979.25,20985.5,2694
2026-01-05 09:50:00,20985.5,20989.5,20976.5,20978.5,1750
2026-01-05 09:51:00,20978.5,20993.25,20976.25,20989.0,2503
2026-01-05 09:52:00,20989.0,20991.75,20981.25,20990.0,3675
2026-01-05 09:53:00,20990.0,20991.25,20979.75,20986.25,3722
2026-01-05 09:54:00,20986.25,20992.5,20981.25,20982.0,1216
2026-01-05 09:55:00,20982.0,20993.75,20974.75,20986.0,1345
2026-01-05 09:56:00,20986.0,20991.0,20984.25,20990.75,3119
2026-01-05 09:57:00,20990.75,21003.75,20989.5,20995.75,1277
2026-01-05 09:58:00,20995.75,21001.75,20994.75,21001.25,1160
2026-01-05 09:59:00,21001.25,21028.0,20998.0,21023.0,1619
2026-01-05 10:00:00,21023.0,21028.25,21021.75,21024.75,2095
2026-01-05 10:01:00,21024.75,21033.25,21017.5,21020.5,1750
2026-01-05 10:02:00,21020.5,21025.5,21008.25,21011.75,1456
2026-01-05 10:03:00,21011.75,21017.5,21010.0,21015.5,1418
2026-01-05 10:04:00,21015.5,21031.5,21013.25,21027.0,1424
2026-01-05 10:05:00,21027.0,21038.5,21025.5,21028.75,1302
2026-01-05 10:06:00,21028.75,21036.5,21020.25,21021.75,3979
2026-01-05 10:07:00,21021.75,21023.75,21006.0,21012.25,1990
2026-01-05 10:08:00,21012.25,21021.75,21009.75,21016.0,2397
2026-01-05 10:09:00,21016.0,21026.5,21008.25,21023.75,1491
2026-01-05 10:10:00,21023.75,21031.5,21017.5,21030.75,1647
2026-01-05 10:11:00,21030.75,21040.75,21015.0,21026.5,1353
2026-01-05 10:12:00,21026.5,21032.75,21016.5,21027.75,678
2026-01-05 10:13:00,21027.75,21032.25,21027.5,21029.0,1055
2026-01-05 10:14:00,21029.0,21034.25,21029.0,21031.5,905
2026-01-05 10:15:00,21031.5,21045.5,21030.75,21039.75,786
2026-01-05 10:16:00,21039.75,21047.5,21033.5,21044.0,1119
2026-01-05 10:17:00,21044.0,21053.25,21029.75,21051.0,2714
2026-01-05 10:18:00,21051.0,21054.5,21049.0,21053.5,1651
2026-01-05 10:19:00,21053.5,21058.5,21045.25,21056.75,2629
2026-01-05 10:20:00,21056.75,21065.0,21050.75,21063.0,1941
2026-01-05 10:21:00,21063.0,21070.0,21050.25,21052.0,2230
2026-01-05 10:22:00,21052.0,21054.0,21042.75,21046.75,1212
2026-01-05 10:23:00,21046.75,21054.25,21036.75,21041.5,1987
2026-01-05 10:24:00,21041.5,21046.75,21033.0,21034.75,2134
2026-01-05 10:25:00,21034.75,21036.25,21023.5,21030.75,1335
2026-01-05 10:26:00,21030.75,21048.25,21021.5,21042.5,2022
2026-01-05 10:27:00,21042.5,21044.5,21036.5,21038.25,1976
2026-01-05 10:28:00,21038.25,21046.0,21028.5,21045.25,1342
2026-01-05 10:29:00,21045.25,21047.0,21033.0,21033.0,1109
2026-01-05 10:30:00,21033.0,21042.75,21018.5,21027.25,1061
2026-01-05 10:31:00,21027.25,21037.75,21026.75,21027.25,1622
2026-01-05 10:32:00,21027.25,21032.5,21026.75,21032.25,1781
2026-01-05 10:33:00,21032.25,21040.25,21030.5,21039.25,1206
2026-01-05 10:34:00,21039.25,21053.0,21023.75,21047.75,1605
2026-01-05 10:35:00,21047.75,21051.75,21042.75,21047.0,1892
2026-01-05 10:36:00,21047.0,21048.75,21039.75,21043.25,1932
2026-01-05 10:37:00,21043.25,21049.25,21038.5,21049.25,2684
2026-01-05 10:38:00,21049.25,21050.75,21047.5,21049.25,2386
2026-01-05 10:39:00,21049.25,21053.25,21036.75,21039.25,1101
2026-01-05 10:40:00,21039.25,21046.75,21023.25,21027.75,2816
2026-01-05 10:41:00,21027.75,21037.5,21017.5,21017.5,1286
2026-01-05 10:42:00,21017.5,21024.25,21016.25,21019.0,2171
2026-01-05 10:43:00,21019.0,21022.75,21019.0,21020.75,1535
2026-01-05 10:44:00,21020.75,21027.75,21019.0,21026.5,1308
2026-01-05 10:45:00,21026.5,21035.5,21022.75,21024.75,790
2026-01-05 10:46:00,21024.75,21030.75,21015.75,21025.5,1391
2026-01-05 10:47:00,21025.5,21035.25,21022.5,21030.75,862
2026-01-05 10:48:00,21030.75,21032.25,21025.25,21029.75,2055
2026-01-05 10:49:00,21029.75,21034.75,21023.0,21033.0,2496
2026-01-05 10:50:00,21033.0,21034.25,21028.5,21028.75,1108
2026-01-05 10:51:00,21028.75,21029.75,21024.75,21025.0,1619
2026-01-05 10:52:00,21025.0,21028.0,21018.25,21021.5,1125
2026-01-05 10:53:00,21021.5,21023.0,21007.75,21011.5,1178
2026-01-05 10:54:00,21011.5,21017.5,21005.5,21012.75,1872
2026-01-05 10:55:00,21012.75,21018.0,21008.0,21009.75,1409
2026-01-05 10:56:00,21009.75,21009.75,21006.5,21009.0,2596
2026-01-05 10:57:00,21009.0,21024.0,21009.0,21012.5,1197
2026-01-05 10:58:00,21012.5,21017.75,21011.25,21016.75,2006
2026-01-05 10:59:00,21016.75,21029.0,21012.25,21022.75,1464
2026-01-05 11:00:00,21022.75,21024.0,21019.5,21023.5,1834
2026-01-05 11:01:00,21023.5,21026.25,21020.5,21020.75,1188
2026-01-05 11:02:00,21020.75,21021.0,21011.5,21019.75,1354
2026-01-05 11:03:00,21019.75,21020.5,20998.75,21007.25,1359
2026-01-05 11:04:00,21007.25,21010.75,20994.0,20994.0,1054
2026-01-05 11:05:00,20994.0,20995.75,20980.25,20981.25,1770
2026-01-05 11:06:00,20981.25,20985.0,20970.75,20971.0,1743
2026-01-05 11:07:00,20971.0,20974.25,20971.0,20971.5,1655
